Area,Date,Category,Subcategory,Variable,Unit,Value
Argentina,2018-11-01,Electricity generation,Fuel,Wind,%,2.12
Argentina,2018-12-01,Electricity generation,Aggregate fuel,Clean,%,40.35
Argentina,2018-12-01,Electricity generation,Aggregate fuel,Fossil,%,59.65
Argentina,2018-12-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,59.65
Argentina,2018-12-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,35.74
Argentina,2018-12-01,Electricity generation,Aggregate fuel,Renewables,%,38.45
Argentina,2018-12-01,Electricity generation,Aggregate fuel,Wind and Solar,%,2.71
Argentina,2018-12-01,Electricity generation,Fuel,Bioenergy,%,0.27
Argentina,2018-12-01,Electricity generation,Fuel,Coal,%,0.0
Argentina,2018-12-01,Electricity generation,Fuel,Gas,%,58.12
Argentina,2018-12-01,Electricity generation,Fuel,Hydro,%,35.47
Argentina,2018-12-01,Electricity generation,Fuel,Nuclear,%,1.9
Argentina,2018-12-01,Electricity generation,Fuel,Other Fossil,%,1.53
Argentina,2018-12-01,Electricity generation,Fuel,Solar,%,0.36
Argentina,2018-12-01,Electricity generation,Fuel,Wind,%,2.35
Argentina,2019-01-01,Electricity generation,Aggregate fuel,Clean,%,35.49
Argentina,2019-01-01,Electricity generation,Aggregate fuel,Fossil,%,64.51
Argentina,2019-01-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,64.42
Argentina,2019-01-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,30.97
Argentina,2019-01-01,Electricity generation,Aggregate fuel,Renewables,%,33.78
Argentina,2019-01-01,Electricity generation,Aggregate fuel,Wind and Solar,%,2.81
Argentina,2019-01-01,Electricity generation,Fuel,Bioenergy,%,0.17
Argentina,2019-01-01,Electricity generation,Fuel,Coal,%,0.09
Argentina,2019-01-01,Electricity generation,Fuel,Gas,%,62.71
Argentina,2019-01-01,Electricity generation,Fuel,Hydro,%,30.8
Argentina,2019-01-01,Electricity generation,Fuel,Nuclear,%,1.71
Argentina,2019-01-01,Electricity generation,Fuel,Other Fossil,%,1.71
Argentina,2019-01-01,Electricity generation,Fuel,Solar,%,0.34
Argentina,2019-01-01,Electricity generation,Fuel,Wind,%,2.47
Argentina,2019-02-01,Electricity generation,Aggregate fuel,Clean,%,30.25
Argentina,2019-02-01,Electricity generation,Aggregate fuel,Fossil,%,69.73
Argentina,2019-02-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,68.64
Argentina,2019-02-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,25.06
Argentina,2019-02-01,Electricity generation,Aggregate fuel,Renewables,%,27.52
Argentina,2019-02-01,Electricity generation,Aggregate fuel,Wind and Solar,%,2.46
Argentina,2019-02-01,Electricity generation,Fuel,Bioenergy,%,0.27
Argentina,2019-02-01,Electricity generation,Fuel,Coal,%,1.09
Argentina,2019-02-01,Electricity generation,Fuel,Gas,%,66.73
Argentina,2019-02-01,Electricity generation,Fuel,Hydro,%,24.79
Argentina,2019-02-01,Electricity generation,Fuel,Nuclear,%,2.73
Argentina,2019-02-01,Electricity generation,Fuel,Other Fossil,%,1.91
Argentina,2019-02-01,Electricity generation,Fuel,Solar,%,0.36
Argentina,2019-02-01,Electricity generation,Fuel,Wind,%,2.1
Argentina,2019-03-01,Electricity generation,Aggregate fuel,Clean,%,39.1
Argentina,2019-03-01,Electricity generation,Aggregate fuel,Fossil,%,60.9
Argentina,2019-03-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,60.9
Argentina,2019-03-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,30.4
Argentina,2019-03-01,Electricity generation,Aggregate fuel,Renewables,%,33.92
Argentina,2019-03-01,Electricity generation,Aggregate fuel,Wind and Solar,%,3.52
Argentina,2019-03-01,Electricity generation,Fuel,Bioenergy,%,0.39
Argentina,2019-03-01,Electricity generation,Fuel,Coal,%,0.0
Argentina,2019-03-01,Electricity generation,Fuel,Gas,%,60.02
Argentina,2019-03-01,Electricity generation,Fuel,Hydro,%,30.01
Argentina,2019-03-01,Electricity generation,Fuel,Nuclear,%,5.18
Argentina,2019-03-01,Electricity generation,Fuel,Other Fossil,%,0.88
Argentina,2019-03-01,Electricity generation,Fuel,Solar,%,0.49
Argentina,2019-03-01,Electricity generation,Fuel,Wind,%,3.03
Argentina,2019-04-01,Electricity generation,Aggregate fuel,Clean,%,40.14
Argentina,2019-04-01,Electricity generation,Aggregate fuel,Fossil,%,59.86
Argentina,2019-04-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,59.86
Argentina,2019-04-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,29.67
Argentina,2019-04-01,Electricity generation,Aggregate fuel,Renewables,%,33.57
Argentina,2019-04-01,Electricity generation,Aggregate fuel,Wind and Solar,%,3.9
Argentina,2019-04-01,Electricity generation,Fuel,Bioenergy,%,0.31
Argentina,2019-04-01,Electricity generation,Fuel,Coal,%,0.0
Argentina,2019-04-01,Electricity generation,Fuel,Gas,%,58.83
Argentina,2019-04-01,Electricity generation,Fuel,Hydro,%,29.36
Argentina,2019-04-01,Electricity generation,Fuel,Nuclear,%,6.57
Argentina,2019-04-01,Electricity generation,Fuel,Other Fossil,%,1.03
Argentina,2019-04-01,Electricity generation,Fuel,Solar,%,0.51
Argentina,2019-04-01,Electricity generation,Fuel,Wind,%,3.39
Argentina,2019-05-01,Electricity generation,Aggregate fuel,Clean,%,41.91
