Contratada no ano A
(MW médio)","Energia
Contratada no ano A+1
(MW médio)","Energia
Contratada no ano A+2
(MW médio)","Energia
Contratada no ano A+3
,50,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,CEEE,92.715.812/0001-31,2009-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,9,9,9,9.000,9.000,9.000,9.000,9.000,"631,152.000",94.28,R$/MWh,0.00,0.00,"59,505,010.56",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,51,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,CEB,04.232.314/0001-70,2009-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,12,12,12,12.000,12.000,12.000,12.000,12.000,"841,536.000",94.49,R$/MWh,0.00,0.00,"79,516,736.64",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,52,2005,LEE,03ºLEE,Leilão de Energia Existente,003/2005,EMAE,02.302.101/0001-42,2006-03,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,3,3,3,3.000,3.000,3.000,0.000,3.000,"78,912.000",63.24,R$/MWh,0.00,0.00,"4,990,394.88",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2008,Não,"2,493.79",#REF!
,53,2005,LEE,03ºLEE,Leilão de Energia Existente,003/2005,RIO PARANAPAN,02.998.301/0001-81,2006-03,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,66,66,66,66.000,66.000,66.000,0.000,66.000,"1,736,064.000",62.76,R$/MWh,0.00,0.00,"108,955,376.64",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2008,Não,"2,493.79",#REF!
,54,2005,LEE,03ºLEE,Leilão de Energia Existente,003/2005,CEEE,92.715.812/0001-31,2006-03,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,9,9,9,9.000,9.000,9.000,0.000,9.000,"236,736.000",63.00,R$/MWh,0.00,0.00,"14,914,368.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2008,Não,"2,493.79",#REF!
,55,2005,LEE,03ºLEE,Leilão de Energia Existente,003/2005,LIGHT,01.917.818/0001-36,2006-03,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,12,12,12,12.000,12.000,12.000,0.000,12.000,"315,648.000",63.89,R$/MWh,0.00,0.00,"20,166,750.72",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2008,Não,"2,493.79",#REF!
,56,2005,LEE,03ºLEE,Leilão de Energia Existente,003/2005,CEB,03.682.014/0001-20,2006-03,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,12,12,12,12.000,12.000,12.000,0.000,12.000,"315,648.000",62.98,R$/MWh,0.00,0.00,"19,879,511.04",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2008,Não,"2,493.79",#REF!
,57,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,CESP,60.933.603/0001-78,2009-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,120,120,120,120.000,120.000,120.000,120.000,120.000,"8,415,360.000",93.43,R$/MWh,0.00,0.00,"786,247,084.80",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,58,2005,LEN,01ºLEN,Leilão de Energia Nova,002/2005,ARUANÃ ENERGIA,08.435.796/0001-17,2009-T15,UTE.PE.GO.028654-0.01,XAVANTE ARUANÃ,Sem Pendências,GO,Óleo Combustível,Óleo Diesel,SE,0.00,#REF!,53.576,,,0.000,22.200,1.0,1,1,1,1.000,1.000,1.000,1.000,1.000,"131,472.000",139.00,R$/MWh,0.00,0.00,"18,274,608.00",#REF!,#REF!,"241,520.98","241,520.98","241,520.98",1/1/2009,12/31/2023,Não,"2,526.31",#REF!
,59,2005,LEN,01ºLEN,Leilão de Energia Nova,002/2005,ARUANÃ ENERGIA,08.435.796/0001-17,2008-T15,UTE.PE.GO.028654-0.01,XAVANTE ARUANÃ,Sem Pendências,GO,Óleo Combustível,Óleo Diesel,SE,0.00,#REF!,53.576,,,0.000,22.200,1.0,21,21,21,21.000,21.000,21.000,21.000,21.000,"2,761,416.000",139.00,R$/MWh,0.00,0.00,"383,836,824.00",#REF!,#REF!,"5,071,949.00","5,071,949.00","5,071,949.00",1/1/2008,12/31/2022,Não,"2,526.31",#REF!
