Date,Country,VRE,Thermal,Hydro,Other,sum_check_pct,VRE_12MA,Hydro_12MA,Thermal_12MA,Other_12MA,HydroSwing
2019-10-01,Brazil,13.42,16.75,64.83,5.0,100.0,10.314166666666667,73.9125,11.360833333333332,4.413333333333333,
2019-11-01,Brazil,12.040000000000001,17.21,65.83,4.93,100.01000000000002,10.375,72.9675,12.141666666666666,4.5183333333333335,
2019-12-01,Brazil,11.6,14.69,69.63,4.09,100.00999999999999,10.665000000000001,72.03583333333333,12.7675,4.535,
2020-01-01,Brazil,6.7,16.37,73.99,2.94,100.0,10.486666666666666,71.50833333333334,13.490833333333335,4.516666666666667,
2020-02-01,Brazil,7.09,10.97,79.3,2.63,99.99,10.611666666666666,71.58333333333333,13.356666666666667,4.449166666666667,
2020-03-01,Brazil,6.15,8.61,81.69,3.55,100.0,10.615833333333333,71.7375,13.200833333333335,4.446666666666666,
2020-04-01,Brazil,9.399999999999999,7.82,77.52,5.27,100.00999999999998,10.863333333333335,71.50083333333333,13.075000000000001,4.5625,
2020-05-01,Brazil,11.03,8.1,74.79,6.09,100.01,11.0175,71.2025,13.030000000000001,4.753333333333333,
2020-06-01,Brazil,13.66,9.29,71.91,5.13,99.98999999999998,11.091666666666667,71.10916666666667,13.0925,4.708333333333333,
2020-07-01,Brazil,14.919999999999998,8.19,73.19,3.6900000000000004,99.99,11.2875,71.56916666666666,12.609166666666667,4.535,
2020-08-01,Brazil,16.69,8.44,70.56,4.3,99.99,11.403333333333334,72.27583333333332,11.905833333333334,4.414166666666667,
2020-09-01,Brazil,15.78,7.42,71.66,5.13,99.99,11.54,72.90833333333333,11.155000000000001,4.395833333333333,
2020-10-01,Brazil,13.03,16.06,66.02,4.88,99.99,11.5075,73.00750000000001,11.097500000000002,4.385833333333333,
